GOid,Molecular Function Annotation Description,Frequency
GO:0005515,"Binding to a protein.",77
GO:0005524,"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",26
GO:0003677,"Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).",21
GO:0019899,"Binding to an enzyme, a protein with catalytic activity.",14
GO:0003682,"Binding to chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase.",14
GO:0016887,"Catalysis of the reaction: ATP + H2O = ADP + H+ phosphate. ATP hydrolysis is used in some reactions as an energy source, for example to catalyze a reaction or drive transport against a concentration gradient.",14
GO:0042802,"Binding to an identical protein or proteins.",13
GO:0046872,"Binding to a metal ion.",12
GO:0003684,"Binding to damaged DNA.",10
GO:0003697,"Binding to single-stranded DNA.",9
GO:0042803,"Binding to an identical protein to form a homodimer.",9
GO:0019901,"Binding to a protein kinase, any enzyme that catalyzes the transfer of a phosphate group, usually from ATP, to a protein substrate.",9
GO:0003723,"Binding to an RNA molecule or a portion thereof.",8
GO:0044877,"Binding to a macromolecular complex.",7
GO:0008270,"Binding to a zinc ion (Zn).",7
GO:0003887,"Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.",6
GO:0106310,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate.",6
GO:0031625,"Binding to a ubiquitin protein ligase enzyme, any of the E3 proteins.",6
GO:0000287,"Binding to a magnesium (Mg) ion.",6
GO:0008094,"Catalytic activity that acts to modify DNA, driven by ATP hydrolysis.",5
GO:0004693,"Cyclin-dependent catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.",5
GO:0030332,"Binding to cyclins, proteins whose levels in a cell varies markedly during the cell cycle, rising steadily until mitosis, then falling abruptly to zero. As cyclins reach a threshold level, they are thought to drive cells into G2 phase and thus to mitosis.",5
GO:0003690,"Binding to double-stranded DNA.",5
GO:0070182,"Binding to a DNA polymerase.",4
GO:0008022,"Binding to a protein C-terminus, the end of a peptide chain at which the 1-carboxyl function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.",4
GO:0003779,"Binding to monomeric or multimeric forms of actin, including actin filaments.",4
GO:0004674,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.",4
GO:0004672,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",4
GO:0140664,"A molecule that recognises toxic DNA structures, and initiates a signalling response, driven by ATP hydrolysis.",4
GO:0032405,"Binding to a MutLalpha mismatch repair complex.",3
GO:0045296,"Binding to cadherin, a type I membrane protein involved in cell adhesion.",3
GO:0003688,"Binding to a DNA replication origin, a unique DNA sequence of a replicon at which DNA replication is initiated and proceeds bidirectionally or unidirectionally.",3
GO:0016538,"Modulates the activity of a cyclin-dependent protein serine/threonine kinase, enzymes of the protein kinase family that are regulated through association with cyclins and other proteins.",3
GO:0061630,"Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S -> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.",3
GO:0016301,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.",3
GO:0000166,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",3
GO:0032139,"Binding to a double-stranded DNA region containing a dinucleotide insertion or deletion.",2
